wavelength,V450_power,B500_power,G550_power,Y570_power,O600_power,R650_power
350,1.03E-03,3.14E-04,3.32E-04,3.42E-04,3.64E-04,4.17E-04
352,1.37E-03,3.14E-04,3.32E-04,3.42E-04,3.64E-04,4.17E-04
354,1.37E-03,3.14E-04,3.32E-04,3.42E-04,3.64E-04,4.17E-04
356,1.37E-03,3.14E-04,3.32E-04,3.42E-04,3.64E-04,4.17E-04
358,1.37E-03,3.14E-04,3.32E-04,3.42E-04,3.64E-04,4.17E-04
360,1.37E-03,3.14E-04,3.32E-04,3.42E-04,3.64E-04,4.17E-04
362,1.37E-03,6.28E-04,6.63E-04,3.42E-04,3.64E-04,4.17E-04
364,1.37E-03,6.28E-04,6.63E-04,3.42E-04,3.64E-04,8.34E-04
366,1.37E-03,6.28E-04,6.63E-04,3.42E-04,3.64E-04,1.25E-03
368,1.37E-03,6.28E-04,6.63E-04,6.85E-04,3.64E-04,1.67E-03
370,1.37E-03,6.28E-04,6.63E-04,6.85E-04,3.64E-04,2.50E-03
372,1.37E-03,6.28E-04,6.63E-04,6.85E-04,7.28E-04,3.34E-03
374,1.71E-03,9.42E-04,9.95E-04,6.85E-04,7.28E-04,3.75E-03
376,1.71E-03,9.42E-04,9.95E-04,6.85E-04,1.09E-03,3.34E-03
378,2.06E-03,9.42E-04,9.95E-04,6.85E-04,1.46E-03,2.50E-03
380,2.40E-03,9.42E-04,9.95E-04,6.85E-04,1.46E-03,1.67E-03
382,2.74E-03,1.26E-03,9.95E-04,1.03E-03,1.82E-03,8.34E-04
384,3.09E-03,1.26E-03,9.95E-04,1.03E-03,1.46E-03,8.34E-04
386,3.43E-03,1.57E-03,1.33E-03,1.37E-03,1.46E-03,8.34E-04
388,4.11E-03,1.88E-03,1.66E-03,1.37E-03,1.09E-03,8.34E-04
390,5.49E-03,2.20E-03,1.99E-03,1.71E-03,1.09E-03,8.34E-04
392,7.54E-03,2.51E-03,1.99E-03,1.71E-03,1.46E-03,8.34E-04
394,1.06E-02,2.51E-03,2.32E-03,2.05E-03,1.82E-03,8.34E-04
396,1.54E-02,2.83E-03,3.32E-03,2.40E-03,2.18E-03,8.34E-04
398,2.37E-02,3.14E-03,4.64E-03,3.42E-03,2.91E-03,1.25E-03
400,3.43E-02,3.46E-03,5.64E-03,3.77E-03,3.27E-03,1.25E-03
402,4.97E-02,4.08E-03,7.30E-03,4.11E-03,4.00E-03,1.67E-03
404,6.69E-02,4.40E-03,7.96E-03,4.11E-03,4.00E-03,1.67E-03
406,8.33E-02,4.40E-03,8.29E-03,4.11E-03,4.00E-03,1.67E-03
408,9.84E-02,4.71E-03,8.29E-03,4.45E-03,3.27E-03,1.67E-03
410,1.14E-01,5.03E-03,7.96E-03,4.45E-03,2.55E-03,1.67E-03
412,1.32E-01,5.34E-03,7.63E-03,4.11E-03,2.18E-03,2.09E-03
414,1.57E-01,5.65E-03,7.30E-03,3.42E-03,2.18E-03,2.50E-03
416,1.91E-01,5.97E-03,6.63E-03,3.08E-03,2.55E-03,2.92E-03
418,2.34E-01,6.28E-03,5.97E-03,3.08E-03,3.27E-03,3.34E-03
420,2.88E-01,6.28E-03,5.64E-03,3.42E-03,3.27E-03,3.75E-03
422,3.42E-01,6.28E-03,6.30E-03,3.77E-03,2.91E-03,3.75E-03
424,4.05E-01,6.28E-03,7.30E-03,4.11E-03,2.55E-03,3.75E-03
426,4.84E-01,6.28E-03,7.63E-03,4.11E-03,2.18E-03,3.75E-03
428,5.55E-01,6.60E-03,6.97E-03,4.11E-03,2.18E-03,3.75E-03
430,6.35E-01,7.54E-03,6.63E-03,3.77E-03,2.55E-03,4.17E-03
432,7.00E-01,8.79E-03,6.97E-03,3.77E-03,2.91E-03,5.00E-03
434,7.64E-01,1.07E-02,7.30E-03,3.77E-03,3.27E-03,5.42E-03
436,8.07E-01,1.29E-02,6.97E-03,4.45E-03,3.27E-03,5.42E-03
438,8.56E-01,1.54E-02,6.30E-03,5.82E-03,2.91E-03,5.42E-03
440,9.04E-01,1.92E-02,5.31E-03,7.19E-03,2.91E-03,5.00E-03
442,9.31E-01,2.48E-02,4.98E-03,8.90E-03,2.91E-03,4.17E-03
444,9.57E-01,3.42E-02,4.98E-03,1.03E-02,3.64E-03,3.34E-03
446,9.78E-01,4.65E-02,5.64E-03,1.10E-02,4.73E-03,2.92E-03
448,9.90E-01,6.19E-02,6.30E-03,1.16E-02,5.82E-03,2.50E-03
450,9.99E-01,8.32E-02,7.63E-03,1.20E-02,7.64E-03,2.09E-03
452,1.00E+00,1.08E-01,8.62E-03,1.16E-02,8.73E-03,2.09E-03
454,9.51E-01,1.29E-01,8.96E-03,1.10E-02,9.46E-03,2.09E-03
456,9.08E-01,1.47E-01,8.96E-03,1.03E-02,9.82E-03,2.09E-03
458,8.56E-01,1.61E-01,9.62E-03,9.59E-03,1.09E-02,2.50E-03
460,8.00E-01,1.77E-01,1.06E-02,8.56E-03,1.16E-02,2.50E-03
462,7.45E-01,2.10E-01,1.26E-02,8.22E-03,1.16E-02,2.50E-03
464,6.81E-01,2.56E-01,1.39E-02,8.22E-03,1.16E-02,2.92E-03
466,6.10E-01,3.19E-01,1.46E-02,8.90E-03,1.16E-02,2.92E-03
468,5.33E-01,3.95E-01,1.53E-02,9.24E-03,1.20E-02,2.92E-03
470,4.59E-01,4.74E-01,1.63E-02,9.59E-03,1.24E-02,3.34E-03
472,3.86E-01,5.36E-01,1.76E-02,9.59E-03,1.13E-02,3.34E-03
474,3.20E-01,5.91E-01,1.92E-02,1.03E-02,9.82E-03,3.34E-03
476,2.52E-01,6.22E-01,2.02E-02,1.13E-02,7.64E-03,3.34E-03
478,1.86E-01,6.82E-01,2.12E-02,1.34E-02,5.46E-03,3.75E-03
480,1.32E-01,7.30E-01,2.06E-02,1.51E-02,3.64E-03,3.75E-03
482,1.07E-01,8.00E-01,2.16E-02,1.61E-02,3.64E-03,3.75E-03
484,9.02E-02,8.49E-01,2.32E-02,1.54E-02,3.64E-03,4.17E-03
486,7.78E-02,8.87E-01,2.65E-02,1.44E-02,3.64E-03,4.17E-03
488,6.75E-02,9.21E-01,3.18E-02,1.40E-02,3.64E-03,4.17E-03
490,5.97E-02,9.62E-01,3.72E-02,1.47E-02,4.00E-03,4.59E-03
492,5.01E-02,1.00E+00,4.21E-02,1.54E-02,4.00E-03,5.00E-03
494,3.87E-02,9.95E-01,4.61E-02,1.54E-02,4.37E-03,5.42E-03
496,2.64E-02,9.62E-01,5.17E-02,1.54E-02,4.37E-03,5.42E-03
498,1.82E-02,9.17E-01,6.27E-02,1.54E-02,5.09E-03,5.00E-03
500,1.47E-02,8.72E-01,7.56E-02,1.64E-02,6.18E-03,4.59E-03
502,1.37E-02,8.30E-01,9.25E-02,1.78E-02,7.64E-03,4.59E-03
